noc,noc_title,onetsoc_code
22214,Technical occupations in geomatics and meteorology,17-1021.00
22214,Technical occupations in geomatics and meteorology,17-3031.00
22214,Technical occupations in geomatics and meteorology,19-4099.03
22220,Computer network and web technicians,15-1231.00
22220,Computer network and web technicians,15-1241.00
22220,Computer network and web technicians,15-1244.00
22220,Computer network and web technicians,15-1299.00
22220,Computer network and web technicians,15-1299.01
22221,User support technicians,15-1232.00
22221,User support technicians,49-2011.00
22222,Information systems testing technicians,15-1253.00
22230,Non-destructive testers and inspectors,17-3029.01
22230,Non-destructive testers and inspectors,51-9061.00
22231,Engineering inspectors and regulatory officers,51-9061.00
22231,Engineering inspectors and regulatory officers,53-6051.00
22231,Engineering inspectors and regulatory officers,53-6051.01
22231,Engineering inspectors and regulatory officers,53-6051.07
22232,Occupational health and safety specialists,11-3121.00
22232,Occupational health and safety specialists,13-1041.01
22233,Construction inspectors,47-4011.00
22300,Civil engineering technologists and technicians,17-3022.00
22300,Civil engineering technologists and technicians,53-6041.00
22301,Mechanical engineering technologists and technicians,17-3024.01
22301,Mechanical engineering technologists and technicians,17-3027.00
22301,Mechanical engineering technologists and technicians,17-3027.00
22302,Industrial engineering and manufacturing technologists and technicians,17-3026.00
22302,Industrial engineering and manufacturing technologists and technicians,17-3026.00
22302,Industrial engineering and manufacturing technologists and technicians,17-3026.00
22302,Industrial engineering and manufacturing technologists and technicians,17-3026.00
22303,Construction estimators,13-1051.00
22310,Electrical and electronics engineering technologists and technicians,17-3023.00
22310,Electrical and electronics engineering technologists and technicians,17-3023.00
22310,Electrical and electronics engineering technologists and technicians,17-3023.00
22310,Electrical and electronics engineering technologists and technicians,17-3023.00
22310,Electrical and electronics engineering technologists and technicians,17-3023.00
22310,Electrical and electronics engineering technologists and technicians,17-3024.00
22310,Electrical and electronics engineering technologists and technicians,17-3029.00
22311,Electronic service technicians (household and business equipment),37-3019.00
22311,Electronic service technicians (household and business equipment),49-2094.00
22311,Electronic service technicians (household and business equipment),49-2098.00
22312,Industrial instrument technicians and mechanics,19-4051.00
22312,Industrial instrument technicians and mechanics,19-4051.02
